Source,Target,Type,Appearance
"Ainslie, G.","Lane, R.",Directed,1
"Ainslie, G.","Ryan, L.",Directed,1
"Ainslie, G.","Nadel, L.",Directed,1
"Ainslie, G.","Greenberg, L.",Directed,1
"Benga, O.","Lane, R.",Directed,1
"Benga, O.","Ryan, L.",Directed,1
"Benga, O.","Nadel, L.",Directed,1
"Benga, O.","Greenberg, L.",Directed,1
"Neagota, B.","Lane, R.",Directed,1
"Neagota, B.","Ryan, L.",Directed,1
"Neagota, B.","Nadel, L.",Directed,1
"Neagota, B.","Greenberg, L.",Directed,1
"Benga, I.","Lane, R.",Directed,1
"Benga, I.","Ryan, L.",Directed,1
"Benga, I.","Nadel, L.",Directed,1
"Benga, I.","Greenberg, L.",Directed,1
"Brewin, C.","Lane, R.",Directed,1
"Brewin, C.","Ryan, L.",Directed,1
"Brewin, C.","Nadel, L.",Directed,1
"Brewin, C.","Greenberg, L.",Directed,1
"De Brigard, F.","Lane, R.",Directed,1
"De Brigard, F.","Ryan, L.",Directed,1
"De Brigard, F.","Nadel, L.",Directed,1
"De Brigard, F.","Greenberg, L.",Directed,1
"Hanna, E.","Lane, R.",Directed,1
"Hanna, E.","Ryan, L.",Directed,1
"Hanna, E.","Nadel, L.",Directed,1
"Hanna, E.","Greenberg, L.",Directed,1
"Diekelmann, S.","Lane, R.",Directed,1
"Diekelmann, S.","Ryan, L.",Directed,1
"Diekelmann, S.","Nadel, L.",Directed,1
"Diekelmann, S.","Greenberg, L.",Directed,1
"Forcato, C.","Lane, R.",Directed,1
"Forcato, C.","Ryan, L.",Directed,1
"Forcato, C.","Nadel, L.",Directed,1
"Forcato, C.","Greenberg, L.",Directed,1
"Ecker, B.","Lane, R.",Directed,1
"Ecker, B.","Ryan, L.",Directed,1
"Ecker, B.","Nadel, L.",Directed,1
"Ecker, B.","Greenberg, L.",Directed,1
"Hulley, L.","Lane, R.",Directed,1
"Hulley, L.","Ryan, L.",Directed,1
"Hulley, L.","Nadel, L.",Directed,1
"Hulley, L.","Greenberg, L.",Directed,1
"Ticic, R.","Lane, R.",Directed,1
"Ticic, R.","Ryan, L.",Directed,1
"Ticic, R.","Nadel, L.",Directed,1
"Ticic, R.","Greenberg, L.",Directed,1
"Kimbrel, N.","Lane, R.",Directed,1
"Kimbrel, N.","Ryan, L.",Directed,1
"Kimbrel, N.","Nadel, L.",Directed,1
"Kimbrel, N.","Greenberg, L.",Directed,1
"Meyer, E.","Lane, R.",Directed,1
"Meyer, E.","Ryan, L.",Directed,1
"Meyer, E.","Nadel, L.",Directed,1
"Meyer, E.","Greenberg, L.",Directed,1
"Beckham, J.","Lane, R.",Directed,1
"Beckham, J.","Ryan, L.",Directed,1
"Beckham, J.","Nadel, L.",Directed,1
"Beckham, J.","Greenberg, L.",Directed,1
"Klein, S.","Lane, R.",Directed,1
"Klein, S.","Ryan, L.",Directed,1
"Klein, S.","Nadel, L.",Directed,1
"Klein, S.","Greenberg, L.",Directed,1
"Markowitsch, H.","Lane, R.",Directed,1
"Markowitsch, H.","Ryan, L.",Directed,1
"Markowitsch, H.","Nadel, L.",Directed,1
"Markowitsch, H.","Greenberg, L.",Directed,1
"LaBar, K.","Lane, R.",Directed,1
"LaBar, K.","Ryan, L.",Directed,1
"LaBar, K.","Nadel, L.",Directed,1
"LaBar, K.","Greenberg, L.",Directed,1
"Levin, C.","Lane, R.",Directed,1
"Levin, C.","Ryan, L.",Directed,1
"Levin, C.","Nadel, L.",Directed,1
"Levin, C.","Greenberg, L.",Directed,1
"Liberzon, I.","Lane, R.",Directed,1
"Liberzon, I.","Ryan, L.",Directed,1
"Liberzon, I.","Nadel, L.",Directed,1
"Liberzon, I.","Greenberg, L.",Directed,1
"Javanbakht, A.","Lane, R.",Directed,1
"Javanbakht, A.","Ryan, L.",Directed,1
"Javanbakht, A.","Nadel, L.",Directed,1
"Javanbakht, A.","Greenberg, L.",Directed,1
"Llewellyn, S.","Lane, R.",Directed,1
"Llewellyn, S.","Ryan, L.",Directed,1
"Llewellyn, S.","Nadel, L.",Directed,1
