Source, Target, Type, Appearance, TextLength
305269918, 5175790, Directed, 1, 22
219417912, 122606440, Directed, 1, 50
227153915, 122606440, Directed, 1, 43
213242052, 214943743, Directed, 2, 4
316520071, 5175790, Directed, 1, 6
215493389, 5175790, Directed, 3, 114
6663372, 221362631, Directed, 2, 4
226303637, 221362631, Directed, 4, 8
212167543, 200960556, Directed, 3, 6
314679612, 9720762, Directed, 1, 127
202408461, 5175790, Directed, 1, 2
220582923, 106690213, Directed, 1, 2
227311888, 221362631, Directed, 1, 2
216216467, 5175790, Directed, 2, 22
313504548, 5175790, Directed, 2, 10
211172774, 146736808, Directed, 1, 9
222354622, 221362631, Directed, 1, 2
6238067, 221362631, Directed, 4, 8
213730165, 218607162, Directed, 1, 2
230293978, 150574401, Directed, 15, 75
170351330, 226087788, Directed, 1, 18
315775054, 316260318, Directed, 1, 13
220440836, 5175790, Directed, 1, 9
214826212, 221362631, Directed, 1, 2
305195660, 225004609, Directed, 1, 2
125125513, 5175790, Directed, 1, 13
224551674, 226087788, Directed, 1, 12
219838735, 5175790, Directed, 1, 3
191310567, 5175790, Directed, 1, 44
218659513, 310126039, Directed, 1, 7
201368614, 202662917, Directed, 2, 3
231394847, 106690213, Directed, 1, 2
312227928, 226087788, Directed, 1, 3
219966110, 201792194, Directed, 1, 2
220153743, 5175790, Directed, 1, 17
218530895, 223453350, Directed, 12, 18
230619283, 5175790, Directed, 2, 13
134391618, 134391618, Directed, 10, 13
211086250, 9720762, Directed, 1, 2
304158611, 13670303, Directed, 1, 3
217771014, 219857448, Directed, 1, 2
230692873, 214943743, Directed, 1, 6
322488054, 211250722, Directed, 3, 6
224625370, 5175790, Directed, 1, 3
156081648, 221362631, Directed, 2, 4
229208525, 122606440, Directed, 3, 107
190007629, 17268811, Directed, 1, 1
220648180, 226087788, Directed, 1, 2
310493809, 226087788, Directed, 1, 2
215321656, 5175790, Directed, 3, 33
311869725, 221362631, Directed, 1, 2
324282783, 223453350, Directed, 1, 2
316287779, 12829316, Directed, 1, 5
219281676, 223453350, Directed, 1, 99
139659363, 5175790, Directed, 2, 30
315578514, 213508918, Directed, 1, 1
306134164, 5175790, Directed, 1, 12
147387, 214943743, Directed, 1, 1
193615933, 221362631, Directed, 1, 8
225969811, 309566958, Directed, 1, 1
211259137, 5175790, Directed, 1, 41
202308503, 200960556, Directed, 1, 7
154789560, 214943743, Directed, 2, 4
219016190, 5175790, Directed, 1, 33
231117561, 5175790, Directed, 1, 51
228207520, 5175790, Directed, 1, 10
319884866, 5175790, Directed, 1, 6
227441721, 221511976, Directed, 1, 1
305209014, 221362631, Directed, 5, 10
212635367, 223453350, Directed, 1, 3
124405774, 214943743, Directed, 1, 1
182787999, 122606440, Directed, 1, 2
311741948, 122606440, Directed, 1, 16
229307955, 221362631, Directed, 3, 6
201225622, 217945505, Directed, 1, 2
221537002, 302089021, Directed, 1, 2
212693297, 214943743, Directed, 1, 2
308401065, 13670303, Directed, 11, 15
231090387, 310126039, Directed, 1, 8
216825927, 156249229, Directed, 1, 3
230538095, 309007282, Directed, 1, 20
315108304, 5175790, Directed, 1, 105
304530893, 13670303, Directed, 2, 4
215599125, 214943743, Directed, 1, 2
159983670, 226087788, Directed, 1, 6
213438833, 226974030, Directed, 1, 13
193335239, 122606440, Directed, 1, 11
302308016, 200960556, Directed, 1, 5
309515197, 5175790, Directed, 1, 43
312502995, 226087788, Directed, 1, 3
227156651, 221362631, Directed, 1, 2
311169354, 221362631, Directed, 1, 2
219571006, 193098267, Directed, 1, 2
305691349, 221362631, Directed, 1, 2
214467323, 219857448, Directed, 1, 1
202403350, 200960556, Directed, 1, 1
164218314, 200960556, Directed, 2, 4
310043791, 122606440, Directed, 1, 41
228380262, 122629508, Directed, 1, 8
220298421, 226087788, Directed, 1, 3
169022636, 211440559, Directed, 1, 2
169962260, 5175790, Directed, 1, 7
188451837, 5175790, Directed, 1, 7
311639050, 122606440, Directed, 2, 4
215877848, 224980267, Directed, 1, 2
213535378, 122606440, Directed, 2, 4
303389547, 9720762, Directed, 1, 2
1662456, 122606440, Directed, 1, 48
309911439, 221362631, Directed, 1, 2
214913581, 117833666, Directed, 1, 2
199800193, 17268811, Directed, 1, 2
5032615, 122606440, Directed, 1, 24
196072118, 226087788, Directed, 1, 1
215152006, 201792194, Directed, 1, 1
316294859, 221362631, Directed, 1, 2
6122749, 5175790, Directed, 1, 7
192504595, 214943743, Directed, 1, 2
126267490, 221362631, Directed, 1, 2
12669612, 221362631, Directed, 13, 188
217777733, 221362631, Directed, 1, 3
216160243, 186697871, Directed, 3, 6
216827720, 5175790, Directed, 1, 72
311267162, 130628135, Directed, 2, 3
231090387, 218524750, Directed, 1, 19
190775317, 223453350, Directed, 1, 96
315472238, 5175790, Directed, 1, 28
200954150, 2833002, Directed, 1, 2
190372863, 226087788, Directed, 1, 10
216528907, 221362631, Directed, 6, 12
216160243, 169962260, Directed, 3, 30
156444661, 186697871, Directed, 1, 3
10672371, 221362631, Directed, 1, 2
214004708, 217250196, Directed, 1, 3
148129830, 216977824, Directed, 1, 4
227838851, 223453350, Directed, 6, 12
216757787, 5175790, Directed, 3, 211
318324496, 221362631, Directed, 3, 6
229955150, 221362631, Directed, 1, 2
315001133, 221362631, Directed, 1, 2
212978683, 122606440, Directed, 1, 2
231061396, 219857448, Directed, 1, 2
215659197, 5175790, Directed, 1, 3
216385057, 150574401, Directed, 1, 19
312556824, 5175790, Directed, 1, 3
199995880, 307890529, Directed, 1, 3
316945209, 5175790, Directed, 1, 7
216592109, 5175790, Directed, 1, 12
228068496, 5175790, Directed, 3, 40
305183708, 9720762, Directed, 1, 2
227090314, 226087788, Directed, 1, 2
117833666, 117833666, Directed, 7, 47
199284275, 214943743, Directed, 1, 2
169284039, 5175790, Directed, 1, 17
200960556, 217250196, Directed, 101, 121
224554799, 308839537, Directed, 1, 2
216160243, 142349088, Directed, 1, 5
315519904, 9720762, Directed, 1, 2
306270364, 150574401, Directed, 1, 2
310163856, 506136, Directed, 1, 2
161875302, 226087788, Directed, 1, 3
317847557, 221362631, Directed, 1, 2
215624609, 122606440, Directed, 1, 6
422616, 226974030, Directed, 1, 6
222570346, 221362631, Directed, 1, 2
215099055, 5175790, Directed, 1, 2
223197306, 307890529, Directed, 1, 3
215549937, 217250196, Directed, 1, 1
312807983, 9720762, Directed, 8, 16
225318104, 221362631, Directed, 1, 1
142223, 315097207, Directed, 1, 2
171714209, 17268811, Directed, 1, 46
318376969, 5175790, Directed, 1, 30
1680223, 1680223, Directed, 2, 116
14610730, 221362631, Directed, 1, 7
226096601, 224980267, Directed, 1, 3
215770496, 221362631, Directed, 1, 6
215134795, 218607162, Directed, 1, 2
216099486, 214943743, Directed, 1, 2
190786057, 5175790, Directed, 2, 96
219241174, 214943743, Directed, 1, 1
109606089, 106690213, Directed, 1, 1
315386446, 320565637, Directed, 1, 3
302491791, 221362631, Directed, 1, 2
302043800, 193098267, Directed, 1, 2
314679612, 226087788, Directed, 1, 127
304156913, 5175790, Directed, 3, 175
310711973, 122606440, Directed, 1, 15
227226682, 226087788, Directed, 1, 3
307687107, 200960556, Directed, 1, 2
221531571, 217250196, Directed, 1, 2
216228064, 9720762, Directed, 1, 24
226842979, 224980267, Directed, 1, 28
422616, 315973825, Directed, 1, 6
217172040, 9720762, Directed, 1, 2
215120044, 17268811, Directed, 1, 70
222867602, 221362631, Directed, 2, 6
316507089, 221362631, Directed, 1, 16
104149059, 5175790, Directed, 1, 4
163755948, 214943743, Directed, 1, 2
214868428, 186697871, Directed, 1, 2
210992525, 307890529, Directed, 2, 6
306972877, 214943743, Directed, 1, 2
309625216, 226087788, Directed, 1, 8
216527969, 201792194, Directed, 1, 4
221711299, 221362631, Directed, 1, 2
228709526, 5175790, Directed, 1, 3
213764859, 307890529, Directed, 1, 3
317994660, 216977824, Directed, 4, 8
212473804, 132888108, Directed, 1, 49
231605809, 5175790, Directed, 2, 18
113397376, 211226982, Directed, 1, 9
317294167, 317294167, Directed, 1, 4
220716354, 211725147, Directed, 1, 34
210600217, 224980267, Directed, 7, 14
215910034, 5175790, Directed, 8, 77
225207253, 221362631, Directed, 2, 3
122755953, 221362631, Directed, 2, 4
121862070, 5175790, Directed, 1, 3
300172631, 202662917, Directed, 1, 2
228663570, 5175790, Directed, 1, 31
224224711, 221362631, Directed, 1, 2
301858073, 322569854, Directed, 1, 2
216314689, 122606440, Directed, 1, 11
314207797, 221362631, Directed, 1, 2
304527570, 228119793, Directed, 1, 10
223420655, 17268811, Directed, 1, 7
305850415, 226087788, Directed, 1, 16
229016211, 200960556, Directed, 1, 2
134510002, 226087788, Directed, 1, 8
164287934, 223453350, Directed, 4, 13
313442624, 221362631, Directed, 2, 4
216308256, 218607162, Directed, 4, 3
221873886, 219857448, Directed, 1, 2
231427371, 130289216, Directed, 1, 14
222768601, 218607162, Directed, 1, 2
320261145, 321971850, Directed, 1, 2
2738699, 221362631, Directed, 1, 2
12559726, 5175790, Directed, 1, 4
222288235, 221362631, Directed, 1, 2
216256713, 17268811, Directed, 1, 11
199396036, 122606440, Directed, 1, 3
223453350, 122629508, Directed, 1, 13
221059142, 122606440, Directed, 1, 19
115774468, 221362631, Directed, 2, 2
162335593, 226087788, Directed, 1, 2
198207016, 17268811, Directed, 1, 1
190377291, 122263907, Directed, 1, 18
209933598, 221362631, Directed, 1, 2
301799974, 214943743, Directed, 1, 1
313836332, 221362631, Directed, 1, 2
7550804, 225164460, Directed, 1, 15
199557535, 5175790, Directed, 2, 47
215639971, 221362631, Directed, 1, 2
228905216, 122606440, Directed, 1, 2
113493854, 221362631, Directed, 2, 4
313661849, 9720762, Directed, 3, 6
231658060, 224980267, Directed, 1, 2
313781724, 221362631, Directed, 1, 2
322573, 223453350, Directed, 2, 3
319799626, 156249229, Directed, 1, 6
304148652, 221362631, Directed, 2, 6
216894391, 5175790, Directed, 1, 3
312604100, 221362631, Directed, 1, 5
14837530, 5175790, Directed, 1, 52
301894465, 221362631, Directed, 1, 2
303240840, 221362631, Directed, 1, 2
219254540, 221362631, Directed, 1, 2
3380660, 106690213, Directed, 1, 13
300269790, 5175790, Directed, 1, 13
224550568, 322569854, Directed, 1, 29
211878003, 224980267, Directed, 1, 6
202206732, 5175790, Directed, 1, 2
310583224, 310583224, Directed, 1, 47
202509172, 212701770, Directed, 1, 15
176538489, 221362631, Directed, 1, 2
209786819, 214943743, Directed, 2, 11
219769689, 226087788, Directed, 1, 7
316380585, 5175790, Directed, 1, 3
