PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Aarts, Esther; El Aidy, Sahar								Increasing reproducibility and interpretability of microbiota-gut-brain studies on human neurocognition and intermediary microbial metabolites								BEHAVIORAL AND BRAIN SCIENCES				42						e61	10.1017/S0140525X18002777			2019	2019										1									
J	Abbs, JH; DePaul, R								Motor cortex fields and speech movements: Simple dual control is implausible								BEHAVIORAL AND BRAIN SCIENCES				21	4			511	+		10.1017/S0140525X98221261			AUG 1998	1998										1									
J	ABBS, JH								A SPEECH-MOTOR-SYSTEM PERSPECTIVE ON NERVOUS-SYSTEM-CONTROL VARIABLES								BEHAVIORAL AND BRAIN SCIENCES				5	4			541	542		10.1017/S0140525X00013339			1982	1982										9									
J	Abdallah, Chadi G.; Averill, Lynnette A.; Krystal, John H.; Southwick, Steven M.; Arnsten, Amy F. T.								Glutamate and norepinephrine interaction: Relevance to higher cognitive operations and psychopathology								BEHAVIORAL AND BRAIN SCIENCES				39						e201	10.1017/S0140525X15001727			2016	2016										1									
J	Abdi, H; Valentin, D; Edelman, BG								Eigenfeatures as intermediate-level representations: The case for PCA models								BEHAVIORAL AND BRAIN SCIENCES				21	1			17	+		10.1017/S0140525X98220103			FEB 1998	1998										5									
J	ABELSON, RP								COMMENTARY POINTS								BEHAVIORAL AND BRAIN SCIENCES				6	4			591	592		10.1017/S0140525X00017532			1983	1983										1									
J	ABELSON, RP								GOING AFTER PARRY								BEHAVIORAL AND BRAIN SCIENCES				4	4			534	535		10.1017/S0140525X00000042			1981	1981										1									
J	ABELSON, RP								SEARLE ARGUMENT IS JUST A SET OF CHINESE SYMBOLS								BEHAVIORAL AND BRAIN SCIENCES				3	3			424	425		10.1017/S0140525X00005768			1980	1980										5									
J	ABELSON, RP								IMAGINING THE PURPOSE OF IMAGERY								BEHAVIORAL AND BRAIN SCIENCES				2	4			548	549		10.1017/S0140525X0006427X			1979	1979										2									
J	ABITBOL, MM								THE MULTIPLE OBSTACLES TO ENCEPHALIZATION								BEHAVIORAL AND BRAIN SCIENCES				13	2			344	344		10.1017/S0140525X00078985			JUN 1990	1990										2									
J	Aboitiz, F; Schroter, CG								Prelinguistic evolution and motherese: A hypothesis on the neural substrates								BEHAVIORAL AND BRAIN SCIENCES				27	4			503	+		10.1017/S0140525X04220118			AUG 2004	2004										3									
J	Aboitiz, F; Morales, D; Montiel, J								The evolutionary origin of the mammalian isocortex: Towards an integrated developmental and functional approach								BEHAVIORAL AND BRAIN SCIENCES				26	5			535	+		10.1017/S0140525X03000128			OCT 2003	2003										76									
J	Aboitiz, F; Morales, D; Montiel, J								Authors' response - An interdisciplinary approach to brain evolution: A long due debate								BEHAVIORAL AND BRAIN SCIENCES				26	5			572	585		10.1017/S0140525X03420128			OCT 2003	2003										2									
J	Aboitiz, F								What determines evolutionary brain growth?								BEHAVIORAL AND BRAIN SCIENCES				24	2			278	+		10.1017/S0140525X01223954			APR 2001	2001										4									
J	Aboitiz, F								To normalize or not to normalize for overall size?								BEHAVIORAL AND BRAIN SCIENCES				21	3			327	+		10.1017/S0140525X98221212			JUN 1998	1998										2									
J	Aboitiz, Francisco; Lopez-Calderon, Javier; Lopez, Vladimir								The mesencephalon as a source of preattentive consciousness								BEHAVIORAL AND BRAIN SCIENCES				30	1			81	+		10.1017/S0140525X07000908			FEB 2007	2007										2									
J	Abraham, WC								Keeping faith with the properties of LTP								BEHAVIORAL AND BRAIN SCIENCES				20	4			614	614		10.1017/S0140525X9722159X			DEC 1997	1997										1									
J	Abramov, I; Gordon, J								Constraining color categories: The problem of the baby and the bath water								BEHAVIORAL AND BRAIN SCIENCES				20	2			179	&		10.1017/S0140525X97221424			JUN 1997	1997										6									
J	Abrams, Dominic; Vasiljevic, Milica; Wardrop, Hazel M.								Prejudice reduction, collective action, and then what?								BEHAVIORAL AND BRAIN SCIENCES				35	6			425	426		10.1017/S0140525X12001136			DEC 2012	2012										1									
J	Abrams, Marshall								Cultural Variant Interaction in Teaching and Transmission								Behavioral and Brain Sciences				38											2015										1									
J	Abrams, Marshall								Maintenance of cultural diversity: Social roles, social networks, and cognitive networks								BEHAVIORAL AND BRAIN SCIENCES				37	3			254	255		10.1017/S0140525X13002811			JUN 2014	2014										2									
J	Abry, C; Sato, M; Schwartz, JL; Loevenbruck, H; Cathiard, MA								Attention-based maintenance of speech forms in memory: The case of verbal transformations								BEHAVIORAL AND BRAIN SCIENCES				26	6			728	+		10.1017/S0140525X03220161			DEC 2003	2003										2									
J	Abry, C; Boe, LJ; Laboissiere, R; Schwartz, JL								A new puzzle for the evolution of speech?								BEHAVIORAL AND BRAIN SCIENCES				21	4			512	+		10.1017/S0140525X98231268			AUG 1998	1998										2									
J	Abu-Akel, Ahmad								Theory of mind in autism, schizophrenia, and in-between								BEHAVIORAL AND BRAIN SCIENCES				31	3			261	+		10.1017/S0140525X08004226			JUN 2008	2008										5									
J	Acedo-Carmona, Cristina; Gomila, Antoni								Testing the cultural group selection hypothesis in Northern Ghana and Oaxaca								BEHAVIORAL AND BRAIN SCIENCES				39						e31	10.1017/S0140525X15000047			2016	2016										1									
J	ACHINSTEIN, P								EXPLANATION AND ACCEPTABILITY								BEHAVIORAL AND BRAIN SCIENCES				12	3			467	468		10.1017/S0140525X00057058			SEP 1989	1989										2									
J	Achourioti, Theodora; Fugard, Andrew; Stenning, Keith								Throwing the normative baby out with the prescriptivist bathwater								BEHAVIORAL AND BRAIN SCIENCES				34	5			249	249		10.1017/S0140525X1100046X			OCT 2011	2011										1									
J	Ackermann, Hermann; Hage, Steffen R.; Ziegler, Wolfram								Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective								BEHAVIORAL AND BRAIN SCIENCES				37	6						10.1017/S0140525X13003099			DEC 2014	2014										35									
J	Ackermann, Hermann; Hage, Steffen R.; Ziegler, Wolfram								Phylogenetic reorganization of the basal ganglia: A necessary, but not the only, bridge over a primate Rubicon of acoustic communication								BEHAVIORAL AND BRAIN SCIENCES				37	6						10.1017/S0140525X1400003X			DEC 2014	2014										47									
J	ADAIR, RK								A PHYSICS EDITOR COMMENTS ON PETERS AND CECIS PEER-REVIEW STUDY								BEHAVIORAL AND BRAIN SCIENCES				5	2			196	196		10.1017/S0140525X00011195			1982	1982										13									
J	ADAMOVICH, SV								HOW DOES THE NERVOUS-SYSTEM CONTROL THE EQUILIBRIUM TRAJECTORY								BEHAVIORAL AND BRAIN SCIENCES				15	4			704	705					DEC 1992	1992										3									
J	ADAMOVICH, SV; FELDMAN, AG								THE PREREQUISITES FOR ONE-JOINT MOTOR CONTROL THEORIES								BEHAVIORAL AND BRAIN SCIENCES				12	2			210	211		10.1017/S0140525X0004824X			JUN 1989	1989										6									
J	ADAMS, DB								MOTIVATIONAL SYSTEMS - FEAR OR DEFENSE - AND PAIN OR RECUPERATION								BEHAVIORAL AND BRAIN SCIENCES				3	2			301	301		10.1017/S0140525X00004921			1980	1980										2									
J	ADAMS, DB								BRAIN MECHANISMS FOR OFFENSE, DEFENSE, AND SUBMISSION								BEHAVIORAL AND BRAIN SCIENCES				2	2			201	213		10.1017/S0140525X00061926			1979	1979										228									
J	Adams, F; Campbell, K								Modality and abstract concepts								BEHAVIORAL AND BRAIN SCIENCES				22	4			610	+		10.1017/S0140525X99222145			AUG 1999	1999										10									
J	Adams, Gabrielle S.; Mullen, Elizabeth								The social and psychological costs of punishing								BEHAVIORAL AND BRAIN SCIENCES				35	1						10.1017/S0140525X11001142			FEB 2012	2012										6									
J	ADAMS, KM								PEER-REVIEW - AN UNFLATTERING PICTURE								BEHAVIORAL AND BRAIN SCIENCES				14	1			135	135		10.1017/S0140525X00065687			MAR 1991	1991										4									
J	ADAMSCURTIS, LE								DOES A PIAGETIAN DESCRIPTION WORK								BEHAVIORAL AND BRAIN SCIENCES				12	3			588	588		10.1017/S0140525X0005768X			SEP 1989	1989										1									
