PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lupyan, Gary								Not even wrong: The "it's just X" fallacy								BEHAVIORAL AND BRAIN SCIENCES				39						e251	10.1017/S0140525X15002721			2016	2016										3									
J	Lupyan, Gary								Taking symbols for granted? Is the discontinuity between human and nonhuman minds the product of external symbol systems?								BEHAVIORAL AND BRAIN SCIENCES				31	2			140	+		10.1017/S0140525X0800366X			APR 2008	2008										2									
J	Luria, A.R.								Restoration of higher cortical function following local brain damage								Behav. Brain Sci				52	52			687	718						1969										1									
J	Lurz, Robert W.								Feigning introspective blindness for thought								BEHAVIORAL AND BRAIN SCIENCES				32	2			153	+		10.1017/S0140525X09000727			APR 2009	2009										1									
J	Lurz, RW								How to solve the distinguishability problem: Triangulation without explicit training								BEHAVIORAL AND BRAIN SCIENCES				24	6			1142	+		10.1017/S0140525X01260142			DEC 2001	2001										2									
J	LUTZ, R								QUANTUM AI								BEHAVIORAL AND BRAIN SCIENCES				13	4			672	672		10.1017/S0140525X00080870			DEC 1990	1990										1									
J	LUTZEMBERGER, L; MARZI, CA; TASSINARI, G								ON INFERRING BLINDSIGHT FROM NORMAL VISION								BEHAVIORAL AND BRAIN SCIENCES				8	4			754	755		10.1017/S0140525X00046112			DEC 1985	1985										2									
J	Luzzatti, C; Guasti, MT								Agrammatism, syntactic theory, and the lexicon: Broca's area and the development of linguistic ability in the human brain								BEHAVIORAL AND BRAIN SCIENCES				23	1			41	+		10.1017/S0140525X00432395			FEB 2000	2000										3									
J	LYCAN, WG								WEVE ONLY JUST BEGUN								BEHAVIORAL AND BRAIN SCIENCES				18	2			262	263		10.1017/S0140525X00038358			JUN 1995	1995										6									
J	LYCAN, WG								UNCARTESIAN MATERIALISM AND LOCKEAN INTROSPECTION								BEHAVIORAL AND BRAIN SCIENCES				15	2			216	217		10.1017/S0140525X00068370			JUN 1992	1992										1									
J	LYCAN, WG								EXPLANATIONISM, ECHO, AND THE CONNECTIONIST PARADIGM								BEHAVIORAL AND BRAIN SCIENCES				12	3			480	480		10.1017/S0140525X00057198			SEP 1989	1989										2									
J	LYCAN, WG								SKINNER AND THE MIND BODY PROBLEM								BEHAVIORAL AND BRAIN SCIENCES				7	4			634	635		10.1017/S0140525X0002776X			1984	1984										1									
J	LYCAN, WG								IS AND OUGHT IN COGNITIVE SCIENCE								BEHAVIORAL AND BRAIN SCIENCES				4	3			344	345		10.1017/S0140525X00009249			1981	1981										7									
J	LYCAN, WG								THE FUNCTIONALIST REPLY								BEHAVIORAL AND BRAIN SCIENCES				3	3			434	435		10.1017/S0140525X00005860			1980	1980										6									
J	LYKKEN, DT								FATHERLESS REARING LEADS TO SOCIOPATHY								BEHAVIORAL AND BRAIN SCIENCES				18	3			563	564		10.1017/S0140525X00039844			SEP 1995	1995										5									
J	LYKKEN, DT								AN ALTERNATIVE EXPLANATION FOR LOW OR ZERO SIB CORRELATIONS								BEHAVIORAL AND BRAIN SCIENCES				10	1			31	31		10.1017/S0140525X00056120			MAR 1987	1987										4									
J	Lynch, G; Colgin, LL; Palmer, L								"Spandrels of the night?"								BEHAVIORAL AND BRAIN SCIENCES				23	6			966	+		10.1017/S0140525X00614024			DEC 2000	2000										1									
J	LYNCH, JC								THE FUNCTIONAL-ORGANIZATION OF POSTERIOR PARIETAL ASSOCIATION CORTEX								BEHAVIORAL AND BRAIN SCIENCES				3	4			485	499		10.1017/S0140525X00006324			1980	1980										273									
